id;date;mode;from_alamat;from_kelurahan;from_kecamatan;from_latlng;to_alamat;to_kelurahan;to_kecamatan;to_latlng;distance;amount_delivery;amount_merchant;transaction_amount_total;customer_id;customer_gender;customer_birthdate;driver_id;driver_gender;driver_birthdate;kendaraan_jenis;kendaraan_merk;merchant_id;merchant_name;merchant_category
1617;2019/03/09 20:45 s/d 2019/03/09 19:55;BIKE;Gang Ikhwan No.16,  Sungai Jawi;DARAT SEKIP;PONTIANAK KOTA;-0,0303277,109,297753;Jl. Prof. M.Yamin No.3a,  Sungai Bangkong;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,061345224,109,305406;5.55;2500;0;2500;67;P;1994-02-05T00:00:00;90;L;1997-03-24T00:00:00;MOTOR;Yamaha;;;
1297;2019/03/09 19:55 s/d 2019/03/09 19:54;FOOD;Neo Shabu-Shabu Steak & Shake, Johar, Jl. Johar No.90e, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,02861,109,329253;Jl. Dare Nandong Villa Ria Indah,  Tj. Hulu;BANJAR SERASAN;PONTIANAK TIMUR;-0,028571215,109,3749533;7.08;9000;82000;91000;55;L;2004-04-22T00:00:00;77;L;1976-07-26T00:00:00;MOTOR;BMW;93;Neo Shabu-Shabu Steak & Shake, Johar;RESTAURANT
1394;2019/03/09 19:54 s/d 2019/03/09 18:56;SHOP;Alfamart Pontianak Mall, Jl Teuku Umar;DARAT SEKIP;PONTIANAK KOTA;-0,0301863,109,3356331;Gg. Gn. Malabar No.21,  Sungai Jawi;SUNGAI BELIUNG;PONTIANAK BARAT;-0,022623361,109,3191522;4.02;5000;58500;63500;68;L;2000-01-07T00:00:00;75;L;1985-12-28T00:00:00;MOTOR;TVS;421;Alfamart Pontianak Mall;TOKO/SWALAYAN
1120;2019/03/09 18:56 s/d 2019/03/09 12:28;FOOD;Parklife, Jl. Karimata No.64, Sungai Bangkong, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;MARIANA;PONTIANAK KOTA;-0,0305815,109,3264009;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,063780195,109,273496;8.94;12000;72000;84000;8;L;1987-08-02T00:00:00;82;L;1993-06-10T00:00:00;MOTOR;Suzuki;109;Parklife;CAFE
2053;2019/03/09 12:28 s/d 2019/03/08 18:25;CAR;Jl. Tabrani Ahmad No.12,  Sungai Jawi Dalam;PAL LIMA;PONTIANAK BARAT;-0,018461872,109,3075679;Pal IX,  Kakap River;BANSIR LAUT;PONTIANAK TENGGARA;-0,05923926,109,2731293;7.93;14400;0;14400;19;L;2004-01-23T00:00:00;109;P;1988-05-02T00:00:00;MOBIL;Honda;;;
1574;2019/03/08 18:25 s/d 2019/03/08 18:25;BIKE;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,062279401,109,2812723;Gg. Caturjaya No.35,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,036850569,109,3221259;7.35;3500;0;3500;23;P;1994-10-31T00:00:00;76;L;1992-07-12T00:00:00;MOTOR;TVS;;;
1882;2019/03/08 18:25 s/d 2019/03/08 12:58;BIKE;Gg. Harapan Jaya No.31,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,032485165,109,3195441;Unnamed Road,  Siantan Hulu;SAIGON;PONTIANAK TIMUR;-0,007863926,109,3700247;8.24;4000;0;4000;46;P;1988-04-12T00:00:00;85;L;1984-01-06T00:00:00;MOTOR;Suzuki;;;
1958;2019/03/08 12:58 s/d 2019/03/07 18:51;CAR;Jl. Khatulistiwa No.65,  Siantan Tengah;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,017988277,109,3425252;Gg. Sepakat II No.19,  Sungai Jawi;SIANTAN HULU;PONTIANAK UTARA;-0,036836232,109,312212;5.97;10800;0;10800;39;P;1992-02-27T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
2009;2019/03/07 18:51 s/d 2019/03/07 16:30;CAR;Unnamed Road,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,058201431,109,2769512;Jl. Dharma Putra No.11 B,  Siantan Hilir;SIANTAN TENGAH;PONTIANAK UTARA;-0,008149551,109,3393055;10.89;21600;0;21600;72;L;2004-04-01T00:00:00;108;P;1991-12-21T00:00:00;MOBIL;Toyota;;;
1671;2019/03/07 16:30 s/d 2019/03/07 15:53;BIKE;Gg. Nilam 3 No.21,  Sungai Jawi;SUNGAI BANGKONG;PONTIANAK KOTA;-0,021270991,109,3235978;Jl. Slt. Abdurrahman No.29,  Sungai Bangkong;MARIANA;PONTIANAK KOTA;-0,039797917,109,3274604;4.1;1500;0;1500;24;L;1985-03-28T00:00:00;86;L;1995-01-12T00:00:00;MOTOR;Honda;;;
