id;date_order;date_finished;mode;from_alamat;from_kelurahan;from_kecamatan;from_lat;from_lng;to_alamat;to_kelurahan;to_kecamatan;to_lat;to_lng;distance;amount_delivery;amount_merchant;transaction_amount_total;customer_id;customer_name;customer_gender;customer_birthdate;driver_id;driver_name;driver_gender;driver_birthdate;kendaraan_jenis;kendaraan_merk;merchant_id;merchant_name;merchant_category
1617;09/03/2019 20.45;09/03/2019 22.05;BIKE;Gang Ikhwan No.16,  Sungai Jawi;DARAT SEKIP;PONTIANAK KOTA;-0,0303277;109,297753;Jl. Prof. M.Yamin No.3a,  Sungai Bangkong;BENUA MELAYU LAUT;PONTIANAK SELATAN;-0,061345224;109,305406;5,55;2500;0;2500;67;Dian Aryani;P;02/05/1994;90;Rusman Situmorang;L;24/03/1997;MOTOR;Yamaha;;;
1297;09/03/2019 19.55;10/03/2019 01.38;FOOD;Neo Shabu-Shabu Steak & Shake, Johar, Jl. Johar No.90e, Darat Sekip, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;SUNGAI BANGKONG;PONTIANAK KOTA;-0,02861;109,329253;Jl. Dare Nandong Villa Ria Indah,  Tj. Hulu;BANJAR SERASAN;PONTIANAK TIMUR;-0,028571215;109,3749533;7,08;9000;82000;91000;55;Ajimin Aditya Pangestu;L;22/04/2004;77;Lukman Ganep Januar M.Ak;L;26/07/1976;MOTOR;BMW;93;Neo Shabu-Shabu Steak & Shake, Johar;RESTAURANT
1394;09/03/2019 19.54;09/03/2019 21.44;SHOP;Alfamart Pontianak Mall, Jl Teuku Umar;DARAT SEKIP;PONTIANAK KOTA;-0,0301863;109,3356331;Gg. Gn. Malabar No.21,  Sungai Jawi;SUNGAI BELIUNG;PONTIANAK BARAT;-0,022623361;109,3191522;4,02;5000;58500;63500;68;Wahyu Simanjuntak;L;01/07/2000;75;Atma Dasa Uwais;L;28/12/1985;MOTOR;TVS;421;Alfamart Pontianak Mall;TOKO/SWALAYAN
1120;09/03/2019 18.56;10/03/2019 00.20;FOOD;Parklife, Jl. Karimata No.64, Sungai Bangkong, Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243, Indonesia;MARIANA;PONTIANAK KOTA;-0,0305815;109,3264009;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,063780195;109,273496;8,94;12000;72000;84000;8;Argono Daru Tarihoran S.Sos;L;08/02/1987;82;Latif Marbun;L;06/10/1993;MOTOR;Suzuki;109;Parklife;CAFE
2053;09/03/2019 12.28;09/03/2019 17.11;CAR;Jl. Tabrani Ahmad No.12,  Sungai Jawi Dalam;PAL LIMA;PONTIANAK BARAT;-0,018461872;109,3075679;Pal IX,  Kakap River;BANSIR LAUT;PONTIANAK TENGGARA;-0,05923926;109,2731293;7,93;14400;0;14400;19;Oman Prasasta;L;23/01/2004;109;Maimunah Pudjiastuti;P;05/02/1988;MOBIL;Honda;;;
1574;08/03/2019 18.25;09/03/2019 00.18;BIKE;Unnamed Road,  Pal IX;BANGKA BELITUNG DARAT;PONTIANAK TENGGARA;-0,062279401;109,2812723;Gg. Caturjaya No.35,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,036850569;109,3221259;7,35;3500;0;3500;23;Aurora Titin Safitri;P;31/10/1994;76;Paiman Wacana S.Kom;L;07/12/1992;MOTOR;TVS;;;
1882;08/03/2019 18.25;08/03/2019 19.41;BIKE;Gg. Harapan Jaya No.31,  Sungai Bangkong;DARAT SEKIP;PONTIANAK KOTA;-0,032485165;109,3195441;Unnamed Road,  Siantan Hulu;SAIGON;PONTIANAK TIMUR;-0,007863926;109,3700247;8,24;4000;0;4000;46;Pia Ika Safitri;P;04/12/1988;85;Jarwadi Nababan;L;01/06/1984;MOTOR;Suzuki;;;
1958;08/03/2019 12.58;08/03/2019 17.55;CAR;Jl. Khatulistiwa No.65,  Siantan Tengah;SUNGAI JAWI DALAM;PONTIANAK BARAT;-0,017988277;109,3425252;Gg. Sepakat II No.19,  Sungai Jawi;SIANTAN HULU;PONTIANAK UTARA;-0,036836232;109,312212;5,97;10800;0;10800;39;Ellis Ella Usada S.H.;P;27/02/1992;108;Ana Maimunah Pertiwi S.H.;P;21/12/1991;MOBIL;Toyota;;;
2009;07/03/2019 18.51;08/03/2019 03.16;CAR;Unnamed Road,  Pal IX;BANSIR LAUT;PONTIANAK TENGGARA;-0,058201431;109,2769512;Jl. Dharma Putra No.11 B,  Siantan Hilir;SIANTAN TENGAH;PONTIANAK UTARA;-0,008149551;109,3393055;10,89;21600;0;21600;72;Mitra Prasasta;L;04/01/2004;108;Ana Maimunah Pertiwi S.H.;P;21/12/1991;MOBIL;Toyota;;;
1671;07/03/2019 16.30;07/03/2019 17.08;BIKE;Gg. Nilam 3 No.21,  Sungai Jawi;SUNGAI BANGKONG;PONTIANAK KOTA;-0,021270991;109,3235978;Jl. Slt. Abdurrahman No.29,  Sungai Bangkong;MARIANA;PONTIANAK KOTA;-0,039797917;109,3274604;4,1;1500;0;1500;24;Mursita Damanik;L;28/03/1985;86;Daliono Firgantoro;L;01/12/1995;MOTOR;Honda;;;
1847;07/03/2019 15.53;07/03/2019 23.07;BIKE;Gang Hidayat,  Sul Ambawang Kuala;TANJUNG HULU;PONTIANAK TIMUR;-0,035939279;109,3912721;Unnamed Road,  Pal IX;BANGKA BELITUNG LAUT;PONTIANAK TENGGARA;-0,058672487;109,2814529;14,47;7500;0;7500;27;Tiara Wijayanti S.E.;P;18/04/1974;85;Jarwadi Nababan;L;01/06/1984;MOTOR;Suzuki;;;
1408;07/03/2019 13.30;07/03/2019 20.01;SHOP;Indomaret Jalan karet, Jl Karet;SUNGAI BELIUNG;PONTIANAK BARAT;-0,0098018;109,2951365;Jl. Parit Demang Dalam,  Parit Tokaya;BENUA MELAYU DARAT;PONTIANAK SELATAN;-0,073071807;109,3222317;9,65;13000;31000;44000;54;Iriana Ade Usada;P;26/01/1997;77;Lukman Ganep Januar M.Ak;L;26/07/1976;MOTOR;BMW;418;Indomaret Jalan karet;TOKO/SWALAYAN
